enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2253381,A10CBKC000S0278A,MUNICÍPIO DE BARCELOS,Conjunto Cozinha - FFaia/MDF,1,,
ENC-A-2260102,A19BA0000147L02A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Bancada Mural Est. C 150x75x90cm - (Fe)Cinza Claro/R7037,28,,
ENC-A-2260102,A10DKURIF6S0I72A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Mesa Retangular DESK 21 80x60x76cm - (Cm)Cinza Claro/7037,72,,
ENC-A-2252611,A10CBBA000S0181A,MUNICIPIO DA TROFA,Banco 30x30x32cm - FFaia/MDF,40,,
ENC-A-2252274,A10BLRPP00S0BV5A,MUNICÍPIO DE ALCANENA,Puff Retangular c/Painel 70x50x45-85.9cm-[P](Ps)Terra_8024/[A](Ps)Limão_8005,1,,
ENC-A-2252274,A10BLC06M0S0O46A,MUNICÍPIO DE ALCANENA,Puff Curvo 108x50x45cm - (Ps)Limão_8005,4,,
ENC-A-2252274,A10BLC0600S0Q02A,MUNICÍPIO DE ALCANENA,Puff CURVO Interior 85x49x45cm - (Ps)Terra_01008024,3,,
ENC-A-2252274,A10BLQ0600S0O46A,MUNICÍPIO DE ALCANENA,Puff Quadrado [BLQ-T06] 45x45x45cm - (Ps)Limão,4,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,3,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,1,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,1,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,1,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,1,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,2,,
ENC-A-2260053,A10ATPB4B0S0598A,MUNICÍPIO DE ALCANENA,Armário Portas Batentes (4) 100x44x185cm (Base Metálica) - (Me)CinzaClaro/R7035,1,,
